customer_id,buyer_lat,buyer_long,weight(Kg),transaction_time(mins),delivery_slot_start,delivery_slot_end,customer_no,E,L
c_110002_5,28.63793355,77.22481809,0.29,5,7:00 AM,1:00 PM,56,0,360
c_110004_48,28.61914613,77.18340505,0.42,5,4:00 PM,7:00 PM,99,540,720
c_110002_79,28.6179006,77.23758293,0.83,5,1:00 PM,4:00 PM,230,360,540
c_110005_95,28.64482289,77.1661627,0.9,5,7:00 AM,1:00 PM,246,0,360
c_110007_9,28.65612464,77.17849524,1.1,5,7:00 AM,1:00 PM,60,0,360
c_110005_21,28.63983231,77.16359098,1.66,5,7:00 AM,1:00 PM,72,0,360
c_110006_34,28.63805451,77.21270938,1.92,5,10:00 AM,1:00 PM,185,180,360
c_110005_65,28.6696162,77.17918711,2.07,5,4:00 PM,7:00 PM,116,540,720
c_110007_80,28.6871583,77.18344219,2.69,5,10:00 AM,1:00 PM,231,180,360
c_110004_38,28.58806927,77.17576419,2.8,5,7:00 AM,1:00 PM,39,0,360
c_110009_59,28.70238436,77.20186248,2.84,5,7:00 AM,1:00 PM,210,0,360
c_110001_97,28.63157109,77.21091197,2.87,5,7:00 AM,1:00 PM,148,0,360
c_110002_42,28.6592502,77.26869353,2.93,5,7:00 AM,1:00 PM,43,0,360
c_110005_71,28.650284,77.1674444,2.95,5,1:00 PM,4:00 PM,222,360,540
c_110007_89,28.67010225,77.19091388,3.02,5,1:00 PM,4:00 PM,140,360,540
c_110003_13,28.56836312,77.2100634,3.55,5,4:00 PM,7:00 PM,64,540,720
c_110007_94,28.69785194,77.21079358,3.9,5,7:00 AM,1:00 PM,145,0,360
c_110007_66,28.68523946,77.20212341,3.9,5,10:00 AM,1:00 PM,217,180,360
c_110003_31,28.56924436,77.20660465,4.18,5,7:00 AM,1:00 PM,32,0,360
c_110002_1,28.65950184,77.23631164,4.2,5,7:00 AM,1:00 PM,152,0,360
c_110007_28,28.69185592,77.17291608,4.24,5,1:00 PM,4:00 PM,179,360,540
c_110009_47,28.73670323,77.19775186,4.38,5,1:00 PM,4:00 PM,198,360,540
c_110002_49,28.63414924,77.22955465,4.64,5,1:00 PM,4:00 PM,50,360,540
c_110006_19,28.64388351,77.24457793,4.7,5,4:00 PM,7:00 PM,20,540,720
c_110006_92,28.66618942,77.22905961,4.74,5,10:00 AM,1:00 PM,243,180,360
c_110007_1,28.67607912,77.20847836,4.81,5,7:00 AM,1:00 PM,2,0,360
c_110008_72,28.62938199,77.14963032,6.78,7,7:00 AM,1:00 PM,223,0,360
c_110002_50,28.62366059,77.24514423,8.72,7,4:00 PM,7:00 PM,201,540,720
c_110002_35,28.65774353,77.22712613,8.87,7,7:00 AM,1:00 PM,36,0,360
c_110002_57,28.62535745,77.22412521,9.21,7,4:00 PM,7:00 PM,208,540,720
c_110009_41,28.72274686,77.17056804,9.3,7,10:00 AM,1:00 PM,42,180,360
c_110008_37,28.63121454,77.16245053,9.54,7,4:00 PM,7:00 PM,188,540,720
c_110008_1,28.63488869,77.15112967,10,7,10:00 AM,1:00 PM,52,180,360
c_110002_84,28.6274357,77.26005325,13.27,7,10:00 AM,1:00 PM,235,180,360
c_110005_58,28.64696794,77.18582968,13.55,7,4:00 PM,7:00 PM,209,540,720
c_110009_64,28.71175652,77.18759836,15.65,7,10:00 AM,1:00 PM,115,180,360
c_110004_97,28.59574103,77.17850077,15.82,7,1:00 PM,4:00 PM,248,360,540
c_110007_33,28.67915246,77.17370501,16.25,7,7:00 AM,1:00 PM,34,0,360
c_110006_0,28.65714197,77.22083115,17.34,7,4:00 PM,7:00 PM,51,540,720
c_110001_33,28.6235263,77.20878894,18.72,7,7:00 AM,1:00 PM,184,0,360
c_110002_70,28.64360096,77.25678639,21.85,7,7:00 AM,1:00 PM,121,0,360
c_110001_29,28.63091278,77.19092065,22.96,7,4:00 PM,7:00 PM,30,540,720
c_110006_32,28.67203727,77.22044042,23.9,7,4:00 PM,7:00 PM,33,540,720
c_110004_4,28.59642879,77.18076835,24.54,7,7:00 AM,1:00 PM,55,0,360
c_110006_8,28.65122524,77.22343717,24.62,7,4:00 PM,7:00 PM,9,540,720
c_110006_10,28.63832346,77.23225975,25.69,7,7:00 AM,1:00 PM,161,0,360
c_110009_87,28.69934864,77.20528521,26.32,7,7:00 AM,1:00 PM,138,0,360
c_110004_84,28.59636467,77.19118774,26.38,7,4:00 PM,7:00 PM,135,540,720
c_110007_22,28.66671501,77.20113847,26.69,7,4:00 PM,7:00 PM,173,540,720
c_110001_44,28.60184229,77.20164015,29.51,7,4:00 PM,7:00 PM,95,540,720
c_110002_62,28.61719188,77.23148049,30.27,7,4:00 PM,7:00 PM,113,540,720
c_110006_98,28.66663814,77.20370172,34.62,7,4:00 PM,7:00 PM,249,540,720
